36.95.152.58,12137,ID,PT Telekomunikasi Indonesia
124.156.202.172,443,SG,16 COLLYER QUAY
168.138.185.234,443,SG,Oracle Public Cloud
188.166.249.31,443,SG,DigitalOcean LLC
150.109.11.223,443,SG,16 COLLYER QUAY
167.71.198.82,8443,SG,DigitalOcean LLC
68.183.227.180,443,SG,DigitalOcean LLC
149.28.158.103,10030,SG,Vultr Holdings LLC
43.156.116.194,443,SG,6 COLLYER QUAY
178.128.86.3,443,SG,DigitalOcean LLC
134.185.83.89,443,SG,Oracle Corporation
168.138.171.70,23280,SG,Oracle Public Cloud
164.52.2.99,443,SG,UCULSG
66.42.51.60,8443,SG,SGPVULTRCUST
146.235.18.248,45137,SG,Oracle Corporation
164.52.2.100,443,SG,UCULSG
43.156.181.203,443,SG,16 COLLYER QUAY
47.74.254.191,8900,SG,Alibaba Cloud SG
47.130.35.116,8888,SG,Amazon Data Services Singapore
3.0.50.69,443,SG,Amazon Data Services Singapore
213.35.108.135,12596,SG,Oracle Svenska AB
164.52.2.98,443,SG,UCULSG
139.180.159.133,443,SG,SGPVULTRCUST
134.209.96.76,443,SG,DigitalOcean LLC
68.183.227.216,443,SG,DigitalOcean LLC
168.138.165.174,443,SG,Oracle Public Cloud
52.76.110.129,20001,SG,Amazon Technologies Inc
213.35.100.31,47112,SG,Oracle Svenska AB
139.99.124.165,443,SG,OVH SINGAPOR DC
129.150.36.188,53435,SG,Oracle Corporation
138.2.64.229,443,SG,Oracle Corporation
138.2.95.61,1111,SG,Oracle Corporation
143.42.66.91,443,SG,Viewqwest Pte Ltd
146.190.104.232,443,SG,DigitalOcean LLC
5.34.176.119,81,SG,Green Floid LLC
91.192.81.154,8443,SG,Melbikomas UAB
91.192.81.154,2053,SG,Melbikomas UAB
168.138.189.91,443,SG,Oracle Public Cloud
138.3.217.167,587,JP,Oracle Network Information Services
149.28.21.106,443,JP,Vultr Holdings LLC
167.179.110.68,8443,JP,The Constant Company LLC
158.101.154.245,47001,JP,Oracle Public Cloud
158.101.89.113,50443,JP,Oracle Public Cloud
141.147.183.49,29876,JP,Oracle Corporation
140.238.58.181,2053,JP,Oracle Public Cloud
45.76.198.248,443,JP,Vultr Holdings LLC
45.77.25.6,48828,JP,Vultr Holdings LLC
103.106.228.126,2053,JP,oneprovidercom Tokyo Infrastructure
138.2.10.149,45638,JP,Oracle Corporation
140.238.37.103,14782,JP,Oracle Public Cloud
103.75.118.144,2053,JP,Oneprovidercom Japan Infrastructure
131.186.63.89,11655,JP,Oracle Public Cloud
45.11.1.118,44004,JP,CEGRGODigitalVM LLC Tokyo
168.138.197.147,12345,JP,Oracle Public Cloud
138.2.5.136,443,JP,Cloudflare London LLC
132.145.127.203,2053,JP,Oracle Public Cloud
150.230.204.21,10243,JP,Oracle Corporation
138.3.222.124,46209,JP,Oracle Network Information Services
139.162.102.152,7002,JP,Akamai Connected Cloud Linode
210.138.37.53,443,JP,CDNetworks co Ltd
138.2.10.217,27446,JP,Oracle Corporation
45.77.25.6,27854,JP,Vultr Holdings LLC
45.32.49.72,9443,JP,Vultr Holdings LLC
132.145.127.203,8443,JP,Oracle Public Cloud
138.2.18.82,8880,JP,Oracle Corporation
45.77.9.114,443,JP,Vultr Holdings LLC
152.69.192.40,57005,JP,Oracle Corporation
150.230.5.34,45681,JP,Oracle Corporation
64.176.36.17,443,JP,The Constant Company LLC
138.2.48.109,26412,JP,Oracle Corporation
138.2.59.96,10129,JP,Oracle Corporation
141.147.152.229,23333,JP,Oracle Corporation
217.142.250.195,587,JP,Oracle Corporation
138.2.49.197,587,JP,Oracle Corporation
217.142.230.253,587,JP,Oracle Corporation
140.83.57.20,13118,JP,imported inetnum object for OCPL1
138.2.32.76,15821,JP,Oracle Corporation
64.110.101.125,443,JP,Oracle Corporation
47.74.8.30,2443,JP,Alibaba Cloud JP
140.238.38.81,587,JP,Cloudflare Inc
168.138.46.67,443,JP,Oracle Public Cloud
150.230.214.172,16957,JP,Oracle Corporation
155.248.181.189,443,JP,Oracle Public Cloud
158.101.131.94,2083,JP,Oracle Public Cloud
153.121.45.101,443,JP,SAKURA Internet Inc
118.27.12.40,38443,JP,GMO Internet Inc
64.110.104.30,443,JP,Oracle Corporation
140.238.50.134,443,JP,Oracle Public Cloud
58.27.117.24,443,MY,TMNET
43.133.110.81,443,TH,6 COLLYER QUAY
122.2.198.74,443,PH,IPG
152.70.89.135,587,KR,Oracle Corporation
140.238.5.75,13644,KR,Oracle Public Cloud
217.142.138.61,37914,KR,Oracle Svenska AB
123.111.169.70,443,KR,SK Broadband Co Ltd
132.145.84.148,39567,KR,Oracle Public Cloud
146.56.140.79,22561,KR,Cloudflare London LLC
144.24.73.232,443,KR,Oracle Corp UK Ltd
152.67.209.237,22053,KR,Oracle Public Cloud
146.56.99.22,20443,KR,Oracle Corporation Global software solutions California USA
144.24.87.69,50001,KR,Oracle Corporation
158.247.250.157,81,KR,The Constant Company LLC
146.56.140.79,44699,KR,Cloudflare London LLC
158.180.69.78,12198,KR,Cloudflare Inc
146.56.140.79,20309,KR,Cloudflare Inc
64.110.70.205,23022,KR,Oracle Corporation
152.69.229.175,22558,KR,Oracle Corporation
59.6.239.208,12203,KR,KT
132.226.21.116,6056,KR,Oracle Public Cloud
152.67.211.114,58337,KR,Oracle Public Cloud
132.226.23.92,22053,KR,Oracle Public Cloud
140.245.65.122,443,KR,Oracle Corporation
131.186.24.124,587,KR,Oracle Public Cloud
61.85.1.77,12150,KR,Korea Telecom
39.115.137.14,443,KR,SK Broadband Co Ltd
146.56.42.21,7777,KR,Cloudflare London LLC
64.110.75.145,443,KR,Oracle Corporation
47.76.218.163,443,HK,Alibaba Cloud HK
219.76.13.166,443,HK,Hong Kong Telecommunications HKT Limited Mass Internet
8.210.96.197,12902,HK,Aliyun Computing CoLTD
43.154.124.136,26666,HK,6 COLLYER QUAY
219.76.13.169,443,HK,Hong Kong Telecommunications HKT Limited Mass Internet
219.76.13.181,443,HK,Hong Kong Telecommunications HKT Limited Mass Internet
219.76.13.167,443,HK,Hong Kong Telecommunications HKT Limited Mass Internet
8.210.29.68,443,HK,Aliyun Computing CoLTD
101.79.165.113,443,HK,CDNetworks
45.38.42.198,2053,HK,Subnet Digital LLC
43.198.204.35,443,HK,Amazoncom Inc
219.76.13.177,443,HK,Hong Kong Telecommunications HKT Limited Mass Internet
221.125.10.8,57537,HK,HGC Global Communications Limited
194.156.99.182,8443,HK,FreeNet LLCFZ
103.251.89.149,29876,HK,HengTian HK DataCenter
43.252.41.204,2443,HK,CommuniLink Internet Ltd
154.38.116.8,443,HK,STARCLOUD GLOBAL PTE LTD
8.218.36.133,9010,HK,Alibaba Cloud Singapore Private Limited
39.98.224.123,443,CN,Aliyun Computing Co LTD
36.133.126.13,443,CN,China Mobile Communications Corporation
47.92.245.88,443,CN,Aliyun Computing Co LTD
47.92.161.8,443,CN,Aliyun Computing Co LTD
20.235.220.189,443,IN,Microsoft Corporation
20.235.105.146,443,IN,Microsoft Corporation
216.10.243.159,443,IN,PDR Solutions FZC
98.70.26.236,443,IN,Microsoft Corporation
4.240.110.47,443,IN,Microsoft Corporation
64.227.174.213,8443,IN,DigitalOcean LLC
64.227.174.213,2053,IN,DigitalOcean LLC
134.209.148.128,443,IN,DigitalOcean LLC
140.238.225.218,80,IN,Oracle Public Cloud
152.70.76.104,46000,IN,Oracle Corporation
219.65.73.81,443,IN,Reliance Jio Infocomm Limited
152.32.181.246,44070,AE,UCLOUD INFORMATION TECHNOLOGY HK LIMITED
20.174.15.226,443,AE,Microsoft Corporation
84.235.245.65,2096,AE,Cloudflare Inc
3.29.240.49,443,AE,Amazon Data Services UAE
176.97.66.175,443,AE,3nt solutions LLP
90.156.221.54,443,AE,ITGLOBAL COM DMCC
2.56.206.160,443,AM,Proitlab LLC
2.56.204.183,443,AM,Proitlab LLC
2.56.204.246,443,AM,Proitlab LLC
213.159.76.202,2053,AM,WorkTitans BV
139.45.214.126,443,AM,RETN AM Limited Liability Company
139.45.214.122,443,AM,RETN AM Limited Liability Company
213.159.76.202,8443,AM,WorkTitans BV
195.250.87.42,4443,AM,GNCAlfa CJSC
217.113.25.184,44443,AM,INET LLC
103.115.253.253,443,BD,Star Internet Service
103.159.170.124,443,BD,MD AKASH AS ONLINE
103.48.16.37,443,BD,Bangladesh Computer Council
77.91.69.141,8443,IL,Webhost LLC
77.91.69.141,2053,IL,Webhost LLC
185.239.48.237,443,IL,LLC Smart Ape
82.166.137.24,443,IL,ADSLVIP
193.228.90.99,443,IR,Internet Utilities Europe and Asia Limited
188.240.213.98,8443,KG,RCS Technologies FZE LLC
188.240.213.40,443,KG,RCS Technologies FZE LLC
188.240.213.125,443,KG,RCS Technologies FZE LLC
188.240.213.98,2053,KG,RCS Technologies FZE LLC
213.148.1.150,8443,KZ,Modern Server Solutions LLP
213.148.10.170,2053,KZ,Modern Server Solutions LLP
213.148.10.155,443,KZ,Modern Server Solutions LLP
213.148.26.246,2053,KZ,Servercore Network
213.148.26.246,8443,KZ,Servercore Network
213.148.10.155,2053,KZ,Modern Server Solutions LLP
83.222.22.61,2053,KZ,Beget LLC
213.148.10.170,8443,KZ,Modern Server Solutions LLP
213.148.1.150,2053,KZ,Modern Server Solutions LLP
185.4.180.39,443,KZ,PS Internet Company LLP
195.210.47.233,8443,KZ,PS Internet Company LLP
86.107.198.133,8443,KZ,HosterKZ
195.49.215.254,8443,KZ,PS Internet Company LLP
86.107.198.133,2053,KZ,HosterKZ
45.136.57.82,8443,KZ,Megahost Kazakhstan TOO
185.253.8.64,2053,KZ,ONEHOST LLP
83.97.77.35,8443,KZ,Webstudio Onelab LLP
80.90.183.75,2053,KZ,lease for Timeweb
83.97.77.63,2053,KZ,Webstudio Onelab LLP
83.97.77.35,2053,KZ,Webstudio Onelab LLP
185.253.8.44,2053,KZ,ONEHOST LLP
45.136.57.82,2053,KZ,Megahost Kazakhstan TOO
185.253.8.65,2053,KZ,ONEHOST LLP
80.90.183.75,8443,KZ,lease for Timeweb
91.200.148.120,443,KZ,Quasar LLC
38.180.38.137,443,KZ,3NT SOLUTIONS LLP
92.118.115.22,2053,KZ,Quasar LLC
79.142.51.162,65000,KZ,SMARTNET TOO
77.243.80.224,443,KZ,PS Internet Company LLP
185.200.36.36,443,SY,High Speed Telekomunikasyon ve Hab Hiz Ltd Sti
188.132.232.192,2053,TR,SUNUCUN BILGI ILETISIM TEKNOLOJILERI VE TICARET LIMITED SIRKETI
188.132.232.192,8443,TR,SUNUCUN BILGI ILETISIM TEKNOLOJILERI VE TICARET LIMITED SIRKETI
185.219.134.25,31564,TR,hostiggerdatacenterTR
188.132.192.190,2053,TR,TradeZone LLC
185.235.243.172,443,TR,WorkTitans BV
212.115.30.237,443,TR,Vodafone Net Iletisim Hizmetler AS
45.89.52.247,443,TR,WorkTitans BV
2.56.127.137,443,TR,WorkTitans BV
185.234.66.91,443,TR,WorkTitans BV
93.115.10.218,2053,TR,2E TELEKOMUNIKASYON LTD STI
195.16.74.73,443,TR,WorkTitans BV
188.132.192.194,2053,TR,TradeZone LLC
93.115.10.218,8443,TR,2E TELEKOMUNIKASYON LTD STI
188.132.192.195,2053,TR,TradeZone LLC
93.115.10.237,8443,TR,2E TELEKOMUNIKASYON LTD STI
141.98.118.80,443,TR,Hostigger INC
212.192.6.248,443,TR,Baxet Group Inc
94.131.123.74,443,TR,WorkTitans BV
84.32.230.201,443,TR,Private Customer
91.216.104.80,443,TR,Deployish Limited
82.148.2.86,443,UZ,SERVERCORE UZ Network
